[tensor([  2121,    458,  15235,   4128,   1614,     11,    358,   1513,    944,
           614,   4345,  15650,    476,  21261,   1075,  12677,    653,     13,
          4354,     11,    358,    646,   3410,    498,    448,   1045,   4586,
          1995,    911,    847,  16928,    323,   1246,    358,    975,    382,
            40,   1079,   6188,    311,   7789,   3847,    304,  23163,   3738,
         12681,  14507,   1667,   5810,   4128,   8692,    320,     45,  12567,
             8,  12538,     13,   3017,   6028,   5795,    374,    311,   3535,
           279,   1946,   1467,     11,  57289,   1181,   7290,     11,    323,
          6923,   8311,  14507,    429,    525,  55787,     11,   2266,   1832,
          9760,     11,    323,  38219,    382,   1249,  22054,    419,   3383,
            11,    358,  17188,    389,   5662,   6832,  25185,    429,  23643,
          3460,  14713,    315,   1467,    821,    504,   5257,   8173,     11,
          2670,   6467,     11,   9709,     11,   3590,   3687,     11,    323,
          1008,   7377,   2213,     13,    358,   1083,  28066,  28464,   4119,
           311,   3535,  12624,    323,  11871,   2878,   1493,  21984,     11,
           892,   6147,    752,    311,   6923,    803,  13382,    323,  81791,
         14507,    382,    641,   5256,    311,    451,  12567,     11,    358,
          1083,  32335,  64667,   6358,    311,  10542,   1376,   4244,     11,
         31747,     11,    323,  11652,  14389,     11,    892,   8609,    752,
          3535,    279,   8084,   7385,    323,  16232,    315,    279,  10435,
           382,  27489,     11,    847,   7428,    374,    311,    387,    264,
         10950,   5392,    369,   3847,  10887,   1995,    476,  22570,    304,
         20333,   5435,    311,    264,   6884,   2088,    315,  13347,   3941,
          2155,  30476,   1741,    438,   5440,     11,   8038,     11,   3840,
            11,  17206,     11,   4992,     13, 151645])]
